scen,par,val,cat
WS,B_ecos,13.23933036,benefit
PAT,B_ecos,13.37313778,benefit
GEN,B_ecos,5.007382247,benefit
BHA,B_ecos,3.119528139,benefit
WS,B_health,0.982058995,benefit
PAT,B_health,0.889494541,benefit
GEN,B_health,0.884495869,benefit
BHA,B_health,0.168974303,benefit
WS,B_prod,5.269415764,benefit
PAT,B_prod,5.063643921,benefit
GEN,B_prod,0.563146264,benefit
BHA,B_prod,0.432769395,benefit
WS,B_time,22.77909392,benefit
PAT,B_time,31.9709753,benefit
GEN,B_time,23.21269303,benefit
BHA,B_time,0.404275194,benefit
BHA,C_fin,2.111231325,cost
PAT,C_fin,2.112561433,cost
GEN,C_fin,2.105758794,cost
WS,C_fin,2.09851259,cost
BHA,C_lab,2.000652353,cost
PAT,C_lab,1.998297426,cost
GEN,C_lab,2.001698471,cost
WS,C_lab,1.995954979,cost
BHA,C_lab_wt,8.998792248,cost
PAT,C_lab_wt,9.004710992,cost
GEN,C_lab_wt,4.261542841,cost
WS,C_lab_wt,4.274831567,cost
BHA,C_mat,1.151292661,cost
PAT,C_mat,1.154131168,cost
GEN,C_mat,1.15260455,cost
WS,C_mat,1.149871881,cost
BHA,C_om,1.498291594,cost
PAT,C_om,15.99408211,cost
GEN,C_om,1.497851104,cost
WS,C_om,1.508851886,cost
BHA,C_unlab,1.052562384,cost
PAT,C_unlab,1.052503026,cost
GEN,C_unlab,1.049906677,cost
WS,C_unlab,1.053674336,cost
