scen,par,val,ecos,time,prod,health
WS,B_ecos,13.23933036,1,0,0,0
PAT,B_ecos,13.37313778,1,0,0,0
GEN,B_ecos,5.007382247,1,0,0,0
BHA,B_ecos,3.119528139,1,0,0,0
WS,B_health,0.982058995,0,0,0,1
PAT,B_health,0.889494541,0,0,0,1
GEN,B_health,0.884495869,0,0,0,1
BHA,B_health,0.168974303,0,0,0,1
WS,B_prod,5.269415764,0,0,1,0
PAT,B_prod,5.063643921,0,0,1,0
GEN,B_prod,0.563146264,0,0,1,0
BHA,B_prod,0.432769395,0,0,1,0
WS,B_time,22.77909392,0,1,0,0
PAT,B_time,31.9709753,0,1,0,0
GEN,B_time,23.21269303,0,1,0,0
BHA,B_time,0.404275194,0,1,0,0
